,id,text
248594,1256736685448200193,Se ben ricordo in GTA Vice City c’era una parte della mappa ambientata negli studios cinematografici della città in cui si vedeva il set dello sbarco sulla Luna affianco a quello di un film porno
248595,1256737430264307712,"Milazzo. Consiglio, approvato con voti dell’opposizione Conto Consuntivo 2017. I consiglieri di centrosinistra fuori aula: “Stanchi di tattiche ostruzionistiche di cui città non ha bisogno” "
248596,1256738388268527616,In questi casi quasi invidio una ragazza della mia città che sta con il cugino di secondo grado 
248597,1256738430165319680,Una città come Napoli -Sorrento 
248598,1256738466148335617,"Roma di notte in periferia...mi manca perfino il casino e il traffico, ma forse il volume del silenzio è proprio questa attesa per il ritorno delle nostre normalità. @ROMA - città eterna https://www.instagram.com/p/B_tIWVYjj9Vx6Y2lQqEjglbQEa-Lgncvl2TYEI0/?igshid=1nwvnui2snoqa"
248599,1256738741030391812,Trento come Torino e Bologna. Città di massoni
248600,1256739546294898688,"Guardatevi qualche video di gente che abita all’estero, tipo a Vienna o a Monaco , le città sono VIVE, i ristoranti i bar e molti negozi sono aperti ...sicuri che sono loro i matti ?"
248601,1256739616226455552,Questo personalmente comporterebbe prendere un mezzo pubblico per arrivare in città e poi camminare per venti minuti in mezzo alla gente per raggiungere l'università meh 
248602,1256740323818078215,"Haha! Fantastico, io sono di Città di Castello. Hope that you enjoyed Umbria :)"
248603,1256741080067964929,Just posted a photo @Città del Vaticano - Basilica San Pietro di Roma https://www.instagram.com/p/B_tJiRIJYCn4UcQT_oypwmToyrSNGUREMpd99A0/?igshid=1g1kyh2uwx8p1
248604,1256741674371424256,"Non è autorazzismo, ma mera realtà da ieri nella mia città tantissimi in giro senza mascherine.inizialmente nessuna certificazione ma raccomandazioni ma noi tutti in giro ammassati. Ce la siamo cercata questo è il fatto"
248605,1256741816369627142,"Caspita....una rivoluzione inconscia. Non dico che qui siamo stati dei Santi (il minchione di turno lo trovi sempre ed ovunque, specialmente nelle grandi città) ma abbiamo cercato di fare davvero del nostro meglio. Con tutte le difficoltà annesse per metropoli come la mia."
248606,1256742044221026310,Mina - Fuori città
248607,1256743477653757952,"E come si fa? Lasciarsi dietro la città Io resto qua a bere qualcosa in questo stupido bar Tu forse dormirai Sì, adesso dormirai"
248608,1256744113262792704,Il #PartitoComunistaItaliano si opporrà affinché non venga offesa la #memoria della città di #Genova e con essa tutti coloro che hanno lottato per la nostra #libertà e la nostra #democrazia. @GenovaPci @ilPCI
248609,1256744374706339842,SIAMO LUCI DI UN’ALTRA CITTÀ SIAMO IL VENTO E NON LA BANDIERA SIAMO NOI SIAMO GLI ULTIMI DELLA FILA SIAMO TERRE MAI VISTE PRIME TIKIBOMBOM #twitterbynight
248610,1256746017137008641,"Mi piacerebbe tanto, ma proprio tanto riprendere da capo le nostre bellissime città. Io per esempio sono di Modica, solo ristrutturando gli edifici del barocco 1/50 della popolazione potrebbe essere occupata nel settore a vita. E avremo bisogno di molti architetti sovranisti "
248611,1256746336453615616,"Sono pentita del viaggio a Londra? No Sono pentita del fatto che ho scelto il mio ex per viaggiare nella mia città dei sogni? Si Il punto è che partire per la mia città dei sogni per la 1 volta (levando brighton) con lui che 1 mese dopo mi lascia,mi darà sempre un brutto ricordo."
248612,1256746898578452480,Rispetta la mia città virus di merda
248613,1256747082783784961,Ho appena scoperto un dipinto che c’è alla galleria d’arte moderna della mia città che mi somiglia...
248614,1256747277986729985,Il segreto della cultura di Trypillian: la prima città della Terra - Sputnik Italia - 
248615,1256747542085349376,Che in realtà è un dipinto del 1915 che ha già visto tutta la città
248616,1256748018889523202,"#bracigliano Bracigliano sbarca in Rai. Nella giornata della Festa del Lavoro, Rai News 24 ha mandato in onda, in diretta, un servizio sulla Banda di Musica “Città di Bracigliano” "
248617,1256748082311630850,"COMUNI - PDZ (Sociale) e Città, Politica narcotizzata? Intervengano Petitto ed Alaia - http://www.cinquerighe.it/2020/05/03/pdz_sociale_e_citt_politica_narcotizzata_intervengano_petitto_ed_alaia/index.php di @CinqueRighe"
